/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,体力,弾種類,待機時間,アイテム1,2,3,4,5,6
610,5,0,360,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
670,6,0,60,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
690,6,0,120,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
710,6,0,80,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
730,6,0,140,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,体力,弾種類,待機時間,アイテム1,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,blknd,col,hp,blknd2,wait,item_n,,,,,
700,0,0,40,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
690,0,0,80,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
680,0,0,120,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
670,0,0,160,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
670,0,0,240,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
680,0,0,280,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
690,0,0,320,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
700,0,0,360,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
750,5,0,340,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
770,5,0,280,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
790,5,0,320,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
810,5,0,360,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
870,6,0,60,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
890,6,0,120,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
910,6,0,80,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
930,6,0,140,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
900,0,0,40,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
890,0,0,80,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
880,0,0,120,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
870,0,0,160,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
870,0,0,240,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
880,0,0,280,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
890,0,0,320,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
900,0,0,360,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
950,5,0,340,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
970,5,0,280,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
990,5,0,320,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
1010,5,0,360,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
1070,6,0,60,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
1090,6,0,120,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
1110,6,0,80,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
1130,6,0,140,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
1100,0,0,40,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
1090,0,0,80,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
1080,0,0,120,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
1070,0,0,160,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
1070,0,0,240,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
1080,0,0,280,-20,0,60,0,0,1,7,180,0,-1,-1,-1,-1,-1
1090,0,0,320,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
1100,0,0,360,-20,0,60,0,0,1,7,180,4,-1,-1,-1,-1,-1
1150,5,0,340,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
1170,5,0,280,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
1190,5,0,320,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
1210,5,0,360,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
1270,6,0,60,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
1290,6,0,120,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
1310,6,0,80,-20,0,60,0,0,200,7,180,0,-1,-1,-1,-1,-1
1330,6,0,140,-20,0,60,0,0,200,7,180,4,-1,-1,-1,-1,-1
